Category,Name,Type,Example,Description
Price Breakdown Widget,mode,number,1,"The mode in which the widget should be delivered. 1 = separate views (compact), 2 = all in one view (full)."
Price Breakdown Widget,defaultCss,boolean,true,Whether the default CSS should be added to the response.
Price Breakdown Widget,showBacklink,boolean,true,"Whether to show a backlink to spoonacular. If set false, this call counts against your quota."
Price Breakdown Widget,language,string,en,"The input language, either ""en"" or ""de""."
Equipment Widget,instructions,string,Preheat oven. Cut cucumber with a knife and put in a blender.,The recipe's instructions.
Equipment Widget,view,string,grid,"How to visualize the equipment, either ""grid"" or ""list""."
Equipment Widget,defaultCss,boolean,true,Whether the default CSS should be added to the response.
Equipment Widget,showBacklink,boolean,true,"Whether to show a backlink to spoonacular. If set false, this call counts against your quota."
Analyze Recipe,language,string,en,"The input language, either ""en"" or ""de""."
Analyze Recipe,includeNutrition,boolean,false,Whether nutrition data should be added to correctly parsed ingredients.
Analyze Recipe,includeTaste,boolean,false,Whether taste data should be added to correctly parsed ingredients.
Summarize Recipe,id,number,4632,The recipe id.
Create Recipe Card,title,string,My recipe,The title of the recipe.
Create Recipe Card,ingredients,string,2 cups of green beans,"The ingredient list of the recipe, one ingredient per line (separate lines with \n)."
Create Recipe Card,instructions,string,cook the beans,The instructions to make the recipe. One step per line (separate lines with \n).
Create Recipe Card,readyInMinutes,number,60,The number of minutes it takes to get the recipe on the table.
Create Recipe Card,servings,number,2,The number of servings the recipe makes.
Create Recipe Card,mask,string,ellipseMask,"The mask to put over the recipe image (""ellipseMask"", ""diamondMask"", ""starMask"", ""heartMask"", ""potMask"", ""fishMask"")."
Create Recipe Card,backgroundImage,string,background1,"The background image (""none"",""background1"", or ""background2"")."
Create Recipe Card,image,binary,,The binary image of the recipe as jpg.
Create Recipe Card,imageUrl,string,https://recipe.com/image.jpg,If you do not sent a binary image you can also pass the image URL.
Create Recipe Card,author,string,Anna Banana,The author of the recipe.
Create Recipe Card,backgroundColor,string,#ffffff,The background color for the recipe card as a hex-string.
Create Recipe Card,fontColor,string,#333333,The font color for the recipe card as a hex-string.
Create Recipe Card,source,string,spoonacular.com,The source of the recipe.
Create Recipe Card,id,number,4632,The recipe id.
Create Recipe Card,mask,string,ellipseMask,"The mask to put over the recipe image (""ellipseMask"", ""diamondMask"", ""starMask"", ""heartMask"", ""potMask"", ""fishMask"")."
Create Recipe Card,backgroundImage,string,background1,"The background image (""none"",""background1"", or ""background2"")."
Create Recipe Card,backgroundColor,string,ffffff,The background color for the recipe card as a hex-string.
Create Recipe Card,fontColor,string,333333,The font color for the recipe card as a hex-string.
Analyze Recipe Instructions,instructions,string,Put the garlic in a pan and then add the onion. Add some salt and oregano.,The instructions to be analyzed.
Classify Cuisine,title,string,Pork roast with green beans,The title of the recipe.
Classify Cuisine,ingredientList,string,3 oz pork shoulder,"The ingredient list of the recipe, one ingredient per line (separate lines with \n)."
Classify Cuisine,language,string,en,"The input language, either ""en"" or ""de""."
Analyze a Recipe Search Query,q,string,salmon with fusilli and no nuts,The recipe search query.
Convert Amounts,ingredientName,string,flour,The ingredient which you want to convert.
Convert Amounts,sourceAmount,number,2.5,"The amount from which you want to convert, e.g. the 2.5 in ""2.5 cups of flour to grams""."
Convert Amounts,sourceUnit,string,cups,"The unit from which you want to convert, e.g. the grams in ""2.5 cups of flour to grams"". You can also use ""piece"", e.g. ""3.4 oz tomatoes to piece"""
Convert Amounts,targetUnit,string,grams,"The unit to which you want to convert, e.g. the grams in ""2.5 cups of flour to grams"". You can also use ""piece"", e.g. ""3.4 oz tomatoes to piece"""
Parse Ingredients,ingredientList,string,1 cup green tea,"The ingredient list of the recipe, one ingredient per line."
Parse Ingredients,servings,number,1,The number of servings that you can make from the ingredients.
Parse Ingredients,includeNutrition,boolean,true,Whether nutrition data should be added to correctly parsed ingredients.
Parse Ingredients,language,string,en,"The input language, either ""en"" or ""de""."
Compute Glycemic Load,(post body),string,"{
                ""ingredients"":[
                    ""1 kiwi"",
                    ""2 cups rice"",
                    ""2 glasses of water""
                ]
            }",A json body.
Compute Glycemic Load,language,string,en,"The input language, either ""en"" or ""de""."
Autocomplete Ingredient Search,query,string,appl,The partial or full ingredient name.
Autocomplete Ingredient Search,number,number,10,The number of results to return (between 1 and 100).
Autocomplete Ingredient Search,language,text,en,"Language code, either ""en"" or ""de""."
Autocomplete Ingredient Search,metaInformation,boolean,false,Whether to return more meta information about the ingredients.
Autocomplete Ingredient Search,intolerances,string,egg,A comma-separated list of intolerances. All recipes returned must not contain ingredients that are not suitable for people with the intolerances entered. See a full list of supported intolerances.
Ingredient Search,query,string,apple,The partial or full ingredient name.
Ingredient Search,addChildren,boolean,true,Whether to add children of found foods.
Ingredient Search,minProteinPercent,number,10,The minimum percentage of protein the food must have (between 0 and 100).
Ingredient Search,maxProteinPercent,number,90,The maximum percentage of protein the food can have (between 0 and 100).
Ingredient Search,minFatPercent,number,10,The minimum percentage of fat the food must have (between 0 and 100).
